Return,PFBCOLOM,GRUPOSURA,ECOPETROL,NUTRESA,GRUPOARGOS,BCOLOMBIA,CEMARGOS,ISA,PFGRUPSURA,EEB,PFGRUPOARG,EXITO,BOGOTA,PFCEMARGOS,CELSIA,RENTA LIQUIDEZ,RENTA ACCIONES,RENTA VARIABLE COLOMBIA,iCOLCAP
0.0584,0,0,0,0,0,0,0,0.000862254,0,0,0,0,0,0,0.000528457,0.998609289,0,0,0
0.0594,0,0.000201272,0.001083659,0,0,0.000347335,0,0.000515363,0,0,0,0,0,0,0,0.983862681,0,0,0.013989689
0.0604,0,0.000201272,0.001083659,0,0,0.000347335,0,0.000515363,0,0,0,0,0,0,0,0.968656252,0,0,0.029196119
0.0614,0.001525391,0.000935035,0.004522184,0,0,0.000916916,0.012096679,0,0,0,0,0.001549351,0,0,0,0.957285815,0,0,0.021168628
0.0624,0.00228607,0.001119905,0.008189127,0,2.44E-06,0.000940587,0.016170834,0,0,0,0,0.002134091,0.005541914,0,0,0.941133168,0,0,0.022481862
0.0634,0.001525391,0.000935035,0.004522184,0,0.001024098,0.000916916,0.003789152,0,0,0,0,0.001549351,0.002635667,0,0,0.925070249,0,0,0.058031956
0.0644,0.009132177,0.002783734,0.002568859,0,0.000998139,0.00115363,0.003693106,0,0,0,0,0.00739675,0.01409084,0,0,0.901621789,0,0,0.056560976
0.0654,0.006089462,0.002044254,0.012664333,0,0,0.001058944,0,0,0,0,0,0.005057791,0.010291317,0,0,0.893270945,0,0,0.069522953
0.0664,0.006850141,0.002229124,0.023996617,0,0,0.001082616,0,0,0,0,0,0.00564253,0.011241198,0,0,0.882289358,0,0,0.066668415
0.0674,0.003807427,0.001489645,0.007646123,0,0.005856619,0.00098793,0.018859996,0,0,0,0,0.003303571,0.007441675,0,0,0.867237466,0,0,0.083369549
0.0684,0.010653534,0.003153474,0.007470835,0,0.005722356,0.001200973,0.018427631,0,0,0,0,0.00856623,0.015990601,0,0,0.847356063,0,0,0.081458303
0.0695,0.018260319,0.005002174,0.007276072,0,0.005573175,0.001437686,0.017947225,0,0,0,0,0.014413629,0.025489409,0,0,0.825265615,0,0,0.079334697
0.0704,0.020542355,0.005556784,0.002089369,0,0.004761892,0.001508701,0.012826508,0,0,0,0,0.016167848,0.028339051,0,0,0.806418138,0,0,0.101789356
0.0714,0.012174891,0.003523214,0.050716703,0,0.002337712,0.001248315,0.049343143,0,0,0,0,0.00973571,0.017890363,0,0,0.82051718,0,0,0.032512769
0.0724,0.019020998,0.005187044,0.049520507,0,0.002282576,0.001461358,0.048179343,0,0,0,0,0.014998369,0.026439289,0,0,0.80116459,0,0,0.031745928
0.0734,0.026627783,0.007035743,0.0481914,0,0.002221312,0.001698072,0.046886232,0,0,0,0,0.020845768,0.035938096,0,0,0.779661712,0,0,0.030893883
0.0744,0.006089462,0.002044254,0.013494376,0,0,0.001058944,0.020498412,0,0,0,0,0.005057791,0.010291317,0,0,0.761555551,0,0,0.179909891
0.0754,0.014456926,0.004077824,0.01311336,0,0,0.00131933,0.019919636,0,0,0,0,0.011489929,0.020740005,0,0,0.740052888,0,0,0.174830102
0.0764,0.012174891,0.003523214,0,0,0.032644551,0.001248315,0.053453129,0,0,0,0,0.00973571,0.017890363,0,0,0.737663445,0,0,0.131666383
0.0774,0.020542355,0.005556784,0,0,0.031703501,0.001508701,0.051912228,0,0,0,0,0.016167848,0.028339051,0,0,0.716398716,0,0,0.127870818
0.0784,0.009892855,0.002968604,0.04912032,0,0,0.001177301,0.025297679,0,0,0,0,0.00798149,0.015040721,0,0,0.714667093,0,0,0.173853936
