Return,PFBCOLOM,GRUPOSURA,ECOPETROL,NUTRESA,GRUPOARGOS,BCOLOMBIA,CEMARGOS,ISA,PFGRUPSURA,EEB,PFGRUPOARG,EXITO,BOGOTA,PFCEMARGOS,CELSIA,RENTA LIQUIDEZ,RENTA BALANCEADO,RENTA ACCIONES,RENTA VARIABLE COLOMBIA,RENTA BALANCEADO GLOBAL,iCOLCAP,RENTA ALTA CONVICCION
0.05829700,0,0,0,0,0,0,0,1.77E-11,0,5.10E-16,0,0,7.16E-08,0,0.00051479,0.99949,0,0,0,0,0,0
0.05929800,0,0.00022617,0.0018822,0,0.002296,0,0.0022906,0.00013341,0,0,0,0.001929,0.00052804,0,0,0.98547,0,0,0,0.0052408,0,0
0.06037800,0,0.00022617,0.0018822,0,0.002296,0,0.0022906,0.00013341,0,0,0,0.001929,0.0020834,0,0,0.96642,0,0,0,0.022743,0,0
0.06136300,0,0.00031612,0.0028045,0,0.0033861,0,0.0017868,0,0,0,0,0.0032987,0.0032845,0,0,0.95108,0,0,0,0.024228,0,0.009817
0.06237400,0,0.00052954,0.0055565,0,0.0065836,0,0.0067408,0,0,0,0,0,0.0058002,0,0,0.93636,0,0,0,0.038425,0,0
0.06342900,0,0.00038726,0.0037218,0,0.004452,0,0.0045217,0,0,0,0,0.0084506,0.004123,0,0,0.9175,0,0,0,0.053176,0.0013696,0.0023029
0.06437400,0,0.00052954,0.0055565,0,0.0065836,0,0.0067408,0,0,0,0,0.0023296,0.0058002,0,0,0.90372,0,0,0,0.056479,0,0.012255
0.06535100,0,0.00077854,0.0087671,0,0.010314,0,0.010624,0,0,0,0,0.0022961,0.0087353,0,0,0.89074,0,0,0,0.055668,0,0.012079
0.06638900,0,0.00088525,0.010143,0,0.011913,0,0.012289,0,0,0,0,0,0.0099932,0,0,0.8746,0,0,0,0.071725,0.008449,0
0.06731200,0,0.00088525,0.010143,0,0.011913,0,0.012289,0,0,0,0,0,0.0099932,0,0,0.85812,0,0,0,0.092715,0,0.0039409
0.06838600,0,0.00088525,0.010143,0,0.011913,0,0.012289,0,0,0,0,0,0.0099932,0,0,0.8414,0,0,0,0.10033,0.01304,0
0.06932400,0,0.0011342,0.013354,0,0.015643,0,0.016172,0,0,0,0,0,0.012928,0,0,0.82906,0,0,0,0.09886,0.012848,0
0.07035900,0,0.00060069,0.0064738,0,0.0076494,0,0.0078504,0,0,0,0,0.00097048,0.0066388,0,0,0.80758,0,0,0,0.12291,0.038102,0.001226
0.07138000,0,0.00088525,0.010143,0,0.011913,0,0.012289,0,0,0,0,0.00095447,0.0099932,0,0,0.79426,0,0,0,0.12089,0.037473,0.0012058
0.07235600,0,0.00077854,0.0087671,0,0.010314,0,0.010624,0,0,0,0,0.0058572,0.0087353,0,0,0.77965,0,0,0,0.091426,0.019228,0.064623
0.07335500,0,0.0010631,0.012436,0,0.014577,0,0.015063,0,0,0,0,0.0057596,0.01209,0,0,0.76665,0,0,0,0.089902,0.018908,0.063546
0.07435400,0,0.0013477,0.016106,0,0.018841,0,0.019501,0,0,0,0,0.005662,0.015444,0,0,0.75366,0,0,0,0.088379,0.018587,0.06247
0.07534700,0,0.0010631,0.012436,0,0.014577,0,0.015063,0,0,0,0,0.016537,0.01209,0,0,0.72985,0,0,0,0.1546,0.0098897,0.033896
0.07631200,0,0.0013477,0.016106,0,0.018841,0,0.019501,0,0,0,0,0.016256,0.015444,0,0,0.71748,0,0,0,0.15198,0.0097221,0.033322
0.07737700,0,0.00092082,0.010602,0,0.012446,0,0.012843,0,0,0,0,0.010813,0.010412,0,0,0.69881,0,0,0,0.16836,0.070389,0.0043971
0.07830000,0,0.0012054,0.014271,0,0.016709,0,0.017282,0,0,0,0,0.010631,0.013767,0,0,0.68707,0,0,0,0.16553,0.069207,0.0043232
0.07933800,0,0.0015255,0.018399,0,0.021505,0,0.022275,0,0,0,0,0.010426,0.017541,0,0,0.67386,0,0,0,0.16235,0.067876,0.0042401
0.08038800,0,0.0019168,0.023444,0,0.027367,0,0.028377,0,0,0,0,0,0.022153,0,0,0.65661,0,0,0,0.17642,0,0.063709
0.08130700,0,0.0023792,0.029407,0,0.034295,0,0.03559,0,0,0,0,0.016383,0.027604,0,0,0.64438,0,0,0,0.1999,0.0030019,0.007058
0.08237500,0,0.0013832,0.016564,0,0.019373,0,0.020056,0,0,0,0,0,0.015863,0,0,0.62011,0,0,0,0.23196,0.074693,0
0.08334500,0,0.0017034,0.020692,0,0.02417,0,0.025049,0,0,0,0,0,0.019637,0,0,0.60805,0,0,0,0.22745,0.073241,0
0.08432800,0,0.0018457,0.022527,0,0.026301,0,0.027268,0,0,0,0,0.034426,0.021314,0,0,0.592,0,0,0,0.22574,0.035036,0.013541
0.08535600,0,0.0021658,0.026655,0,0.031098,0,0.032261,0,0,0,0,1.42E-09,0.025088,0,0,0.58392,0,0,0,0.17803,0.0554,0.065391
0.08635400,0,0.0021658,0.026655,0,0.031098,0,0.032261,0,0,0,0,0.018831,0.025088,0,0,0.56576,0,0,0,0.17964,0.0063471,0.11215
0.08731800,0,0.0023792,0.029407,0,0.034295,0,0.03559,0,0,0,0,0,0.027604,0,0,0.54955,0,0,0,0.21521,0,0.10597
0.08833400,0,0.00067183,0.0073911,0,0.0087152,0,0.00896,0,0,0,0,0.016812,0.0074774,0,0,0.52362,0,0,0,0.22888,0.12342,0.074053
0.08933500,0,0.0010631,0.012436,0,0.014577,0,0.015063,0,0,0,0,0.016429,0.01209,0,0,0.5117,0,0,0,0.22366,0.12061,0.072367
0.09033600,0,0.0014544,0.017482,0,0.020439,0,0.021165,0,0,0,0,0.016047,0.016702,0,0,0.49978,0,0,0,0.21845,0.1178,0.070681
0.09134000,0,0.0023436,0.028948,0,0.033762,0,0.035035,0,0,0,0,0,0.027184,0,0,0.48904,0,0,0,0.23119,0.078479,0.074016
0.09236900,0,0.0010275,0.011978,0,0.014044,0,0.014508,0,0,0,0,0,0.01167,0,0,0.46163,0,0,0,0.23952,0.091628,0.15399
0.09329700,0,0.0014188,0.017023,0,0.019906,0,0.02061,0,0,0,0,0,0.016283,0,0,0.4509,0,0,0,0.23396,0.089497,0.15041
0.09430400,0,0.00049397,0.0050978,0,0.0060507,0,0.006186,0,0,0,0,0.02528,0.0053809,0,0,0.42537,0,0,0,0.27569,0.12614,0.12431
0.09531600,0,0.00095639,0.01106,0,0.012979,0,0.013398,0,0,0,0,0.024607,0.010832,0,0,0.41404,0,0,0,0.26835,0.12278,0.121
0.09630600,0,0.0021658,0.026655,0,0.031098,0,0.032261,0,0,0,0,0.031042,0.025088,0,0,0.40347,0,0,0,0.30227,0.064521,0.081425
0.09733800,0,0.0017745,0.02161,0,0.025235,0,0.026158,0,0,0,0,0.0077279,0.020476,0,0,0.38827,0,0,0,0.30397,0.15229,0.052487
0.09836400,0,0.0022369,0.027572,0,0.032163,0,0.03337,0,0,0,0,0.023822,0.025926,0,0,0.37415,0,0,0,0.29675,0.098123,0.085885
0.09932700,0,0.0021658,0.026655,0,0.031098,0,0.032261,0,0,0,0,0.041399,0.025088,0,0,0.3523,0,0,0,0.36342,0.084253,0.041353
0.10033000,0,0.0019524,0.023903,0,0.0279,0,0.028932,0,0,0,0,0.046684,0.022572,0,0,0.33489,0,0,0,0.35117,0.065582,0.096416
0.10135000,0,0.0021302,0.026196,0,0.030565,0,0.031706,0,0,0,0,0,0.024669,0,0,0.3248,0,0,0,0.3424,0.13122,0.086308
0.10234000,0,0.0022369,0.027572,0,0.032163,0,0.03337,0,0,0,0,0.00090568,0.025926,0,0,0.31624,0,0,0,0.2785,0.14544,0.13764
0.10331000,0,0.00095639,0.01106,0,0.012979,0,0.013398,0,0,0,0,0.055313,0.010832,0,0,0.28742,0,0,0,0.30357,0.14164,0.16283
0.10441000,0,0.0021658,0.026655,0,0.031098,0,0.032261,0,0,0,0,0,0.025088,0,0,0.28048,0,0,0,0.32389,0.16407,0.11429
0.10535000,0,0.0018101,0.022068,0,0.025768,0,0.026713,0,0,0,0,0.023363,0.020895,0,0,0.25479,0,0,0,0.39313,0.11658,0.11488
0.10633000,0,0.0023792,0.029407,0,0.034295,0,0.03559,0,0,0,0,0,0.027604,0,0,0.25275,0,0,0,0.3194,0.16319,0.13538
0.10769000,0,0.0021302,0.026196,0,0.030565,0,0.031706,0,0,0,0,0.0046788,0.024669,0,0,0.22294,0,0,0,0.38164,0.13442,0.14105
0.10835000,0,0.0017745,0.02161,0,0.025235,0,0.026158,0,0,0,0,0.023195,0.020476,0,0,0.21576,0,0,0,0.32371,0.16748,0.1746
0.10934000,0,0.0023436,0.028948,0,0.033762,0,0.035035,0,0,0,0,0.041093,0.027184,0,0,0.19741,0,0,0,0.35578,0.060684,0.21775
0.11033000,0,0.0013832,0.016564,0,0.019373,0,0.020056,0,0,0,0,0.012969,0.015863,0,0,0.18308,0,0,0,0.33009,0.20772,0.1929
0.11131000,0,0.0015611,0.018858,0,0.022038,0,0.02283,0,0,0,0,0.016303,0.01796,0,0,0.1673,0,0,0,0.32437,0.15675,0.25203
0.11231000,0,0.0014188,0.017023,0,0.019906,0,0.02061,0,0,0,0,0.039033,0.016283,0,0,0.14511,0,0,0,0.39548,0.16912,0.17601
0.11332000,0,0.0016322,0.019775,0,0.023104,0,0.023939,0,0,0,0,0.026106,0.018798,0,0,0.13409,0,0,0,0.36161,0.1672,0.22374
0.11449000,0,0.0021658,0.026655,0,0.031098,0,0.032261,0,0,0,0,0.015934,0.025088,0,0,0.12651,0,0,0,0.30574,0.19624,0.23832
0.11530000,0,0.0023081,0.02849,0,0.033229,0,0.03448,0,0,0,0,0.022638,0.026765,0,0,0.11132,0,0,0,0.38093,0.24689,0.11296
0.11631000,0,0.0012054,0.014271,0,0.016709,0,0.017282,0,0,0,0,0.072455,0.013767,0,0,0.081812,0,0,0,0.38301,0.17002,0.22947
0.11733000,0,0.0016322,0.019775,0,0.023104,0,0.023939,0,0,0,0,0.02143,0.018798,0,0,0.073453,0,0,0,0.39234,0.25661,0.16891
0.11832000,0,0.0020235,0.02482,0,0.028966,0,0.030042,0,0,0,0,0.041941,0.023411,0,0,0.061936,0,0,0,0.36312,0.22225,0.20149
0.11944000,0,0.0024148,0.029866,0,0.034828,0,0,0,0,0,0,0.061305,0.028023,0,0,0.035905,0,0,0,0.38932,0.16192,0.25642
0.12038000,0,0.0024504,0.030324,0,0.035361,0,0,0,0,0,0,0.062248,0.028442,0,0,0.021086,0,0,0,0.39531,0.16441,0.26036
