Risk,Return,Frontera
0.05830,0.00557,1
0.05930,0.00678,1
0.06038,0.00881,1
0.06136,0.01139,1
0.06237,0.01461,1
0.06343,0.01777,1
0.06437,0.02043,1
0.06535,0.02358,1
0.06639,0.02711,1
0.06731,0.03030,1
0.06839,0.03346,1
0.06932,0.03647,1
0.07036,0.03976,1
0.07138,0.04269,1
0.07236,0.04554,1
0.07336,0.04880,1
0.07435,0.05235,1
0.07535,0.05521,1
0.07631,0.05810,1
0.07738,0.06168,1
0.07830,0.06470,1
0.07934,0.06837,1
0.08039,0.07178,1
0.08131,0.07553,1
0.08238,0.07829,1
0.08335,0.08115,1
0.08433,0.08445,1
0.08536,0.08713,1
0.08635,0.09079,1
0.08732,0.09413,1
0.08833,0.09651,1
0.08934,0.09931,1
0.09034,0.10248,1
0.09134,0.10585,1
0.09237,0.11012,1
0.09330,0.11249,1
0.09430,0.11591,1
0.09532,0.11843,1
0.09631,0.12121,1
0.09734,0.12490,1
0.09836,0.12759,1
0.09933,0.13157,1
0.10033,0.13449,1
0.10135,0.13740,1
0.10234,0.14095,1
0.10331,0.14468,1
0.10441,0.14732,1
0.10535,0.15019,1
0.10633,0.15354,1
0.10769,0.15764,1
0.10835,0.15982,1
0.10934,0.16375,1
0.11033,0.16712,1
0.11131,0.17054,1
0.11231,0.17246,1
0.11332,0.17590,1
0.11449,0.18086,1
0.11530,0.18269,1
0.11631,0.18669,1
0.11733,0.18923,1
0.11832,0.19211,1
0.11944,0.19596,1
0.12038,0.19897,1
0.12161,0.20340,1
0.12232,0.20489,1
0.12335,0.20804,1
0.12435,0.21128,1
0.12548,0.21672,1
0.12653,0.22024,1
0.12762,0.22753,1
0.12855,0.23332,1
0.12930,0.23855,1
0.13036,0.24651,1
0.13142,0.25392,1
0.13230,0.26193,1
0.13331,0.27095,1
0.13507,0.29333,1
0.05834,0.00556,2
0.05937,0.00731,2
0.06038,0.01024,2
0.06136,0.01291,2
0.06235,0.01682,2
0.06335,0.02061,2
0.06440,0.02414,2
0.06537,0.02769,2
0.06634,0.03127,2
0.06736,0.03433,2
0.06834,0.03794,2
0.06936,0.04223,2
0.07039,0.04618,2
0.07137,0.05000,2
0.07236,0.05240,2
0.07334,0.05538,2
0.07438,0.05935,2
0.07536,0.06378,2
0.07638,0.06710,2
0.07734,0.07080,2
0.07835,0.07417,2
0.07991,0.07914,2
0.08048,0.08262,2
0.08135,0.08527,2
0.08237,0.09080,2
0.08336,0.09245,2
0.08453,0.09567,2
0.08535,0.10047,2
0.08634,0.10396,2
0.08752,0.10704,2
0.08837,0.11090,2
0.08936,0.11445,2
0.09036,0.11787,2
0.09135,0.12310,2
0.09236,0.12545,2
0.09335,0.12859,2
0.09434,0.13292,2
0.09535,0.13732,2
0.09636,0.14060,2
0.09834,0.14753,2
0.09973,0.15035,2
0.10049,0.15376,2
0.10144,0.15710,2
0.10235,0.16134,2
0.10335,0.16425,2
0.10434,0.16751,2
0.10534,0.17277,2
0.10656,0.17561,2
0.10746,0.18093,2
0.10834,0.18277,2
0.10934,0.18750,2
0.11065,0.19209,2
0.11158,0.19539,2
0.11234,0.19991,2
0.11362,0.20485,2
0.11534,0.21173,2
0.11790,0.21891,2
0.11834,0.22405,2
0.12050,0.23043,2
0.12134,0.23330,2
0.12310,0.23881,2
0.12362,0.24060,2
0.12443,0.24482,2
0.12534,0.25063,2
0.12745,0.25630,2
0.12903,0.26236,2
0.12934,0.26502,2
0.13038,0.26980,2
0.13134,0.27443,2
0.13241,0.28086,2
0.13358,0.29043,2
0.13436,0.29791,2
0.13536,0.31028,2
0.05831,0.00556,3
0.05933,0.00660,3
0.06032,0.00908,3
0.06145,0.01166,3
0.06239,0.01492,3
0.06342,0.01792,3
0.06437,0.02128,3
0.06533,0.02414,3
0.06634,0.02697,3
0.06733,0.02979,3
0.06839,0.03377,3
0.06940,0.03713,3
0.07033,0.04016,3
0.07135,0.04372,3
0.07234,0.04683,3
0.07339,0.05038,3
0.07435,0.05443,3
0.07637,0.05901,3
0.07739,0.06277,3
0.07839,0.06636,3
0.07937,0.07030,3
0.08035,0.07290,3
0.08158,0.07671,3
0.08238,0.07957,3
0.08332,0.08274,3
0.08433,0.08555,3
0.08537,0.08869,3
0.08637,0.09215,3
0.08734,0.09440,3
0.08860,0.09867,3
0.08946,0.10100,3
0.09032,0.10482,3
0.09133,0.10633,3
0.09298,0.11197,3
0.09337,0.11346,3
0.09434,0.11592,3
0.09532,0.11978,3
0.09633,0.12333,3
0.09732,0.12596,3
0.09832,0.13060,3
0.09932,0.13338,3
0.10034,0.13595,3
0.10135,0.13949,3
0.10233,0.14303,3
0.10331,0.14578,3
0.10433,0.15025,3
0.10535,0.15431,3
0.10633,0.15788,3
0.10733,0.16321,3
0.10834,0.16587,3
0.10931,0.16739,3
0.11036,0.17247,3
0.11138,0.17904,3
0.11233,0.18109,3
0.11432,0.18514,3
0.11531,0.19255,3
0.11652,0.19497,3
0.11825,0.20088,3
0.11831,0.20102,3
0.11964,0.20564,3
0.12033,0.21159,3
0.12339,0.21851,3
0.12438,0.22181,3
0.12546,0.22628,3
0.12674,0.23230,3
0.12737,0.23596,3
0.12866,0.24388,3
0.12932,0.24523,3
0.13060,0.25230,3
0.13133,0.25930,3
0.13238,0.27100,3
0.13338,0.28617,3
0.13434,0.29294,3
0.13547,0.31961,3
0.058310,0.005556,4
0.059320,0.006532,4
0.060348,0.008787,4
0.061325,0.011625,4
0.062445,0.014500,4
0.063362,0.017665,4
0.064427,0.020772,4
0.065335,0.023666,4
0.066346,0.026744,4
0.067312,0.030211,4
0.068354,0.032961,4
0.069410,0.036186,4
0.070322,0.038928,4
0.071363,0.042471,4
0.072314,0.046253,4
0.073320,0.049094,4
0.074326,0.052223,4
0.075332,0.055729,4
0.076314,0.058498,4
0.077364,0.061766,4
0.078360,0.065209,4
0.079407,0.068400,4
